target,setsize,resp,rt,sub,correct
Absent,16,2,3.524208942,1,1
Present,8,1,0.618335581,1,1
Absent,8,2,2.606560805,1,1
Absent,8,2,2.124195576,1,1
Absent,16,2,2.759499025,1,1
Absent,12,2,3.20658539,1,1
Present,16,1,0.688882208,1,1
Absent,16,2,2.971331606,1,1
Present,8,1,1.288915883,1,1
Present,12,1,1.253620604,1,1
Absent,16,2,2.818325909,1,1
Absent,12,2,3.300667788,1,1
Absent,8,2,2.736002072,1,1
Present,8,1,0.5712532,1,1
Absent,12,2,4.477179276,1,1
Present,12,1,1.63008532,1,1
Present,12,1,2.59481091,1,1
Present,16,1,3.077171753,1,1
Absent,12,2,4.230145508,1,1
Present,16,1,0.806555328,1,1
Present,8,1,1.041811406,1,1
Present,16,1,0.688897706,1,1
Present,8,1,1.971255283,1,1
Present,12,1,1.688909224,1,1
Present,16,1,3.394776437,1,1
Absent,8,2,4.124220397,1,1
Absent,12,1,2.688931126,1,0
Absent,8,2,4.85366658,1,1
Present,12,1,0.747748551,1,1
Absent,16,2,3.606528713,1,1
Present,8,1,0.935935662,1,1
Absent,16,2,2.630103698,1,1
Present,8,1,0.630063389,1,1
Absent,12,2,3.547762716,1,1
Absent,16,2,2.206559534,1,1
Present,12,1,0.606546695,1,1
Absent,8,2,1.747731973,1,1
Present,12,1,0.688898009,1,1
Present,16,1,1.559496283,1,1
Absent,16,2,3.994816103,1,1
Present,16,1,1.771251719,1,1
Absent,16,2,4.371286189,1,1
Present,12,1,1.030084593,1,1
Present,12,1,0.653570351,1,1
Absent,12,2,2.418323511,1,1
Absent,12,2,2.430098743,1,1
Present,16,1,0.900730537,1,1
Present,8,1,0.630057291,1,1
Absent,8,2,2.653634556,1,1
Present,8,1,2.477152164,1,1
Absent,12,2,3.300705944,1,1
Present,12,1,1.230073085,1,1
Present,16,1,1.347737487,1,1
Absent,8,2,2.559608126,1,1
Absent,8,2,3.535981312,1,1
Present,16,1,2.371260964,1,1
Absent,8,2,2.583031365,1,1
Absent,16,1,2.371252584,1,0
Present,8,2,0.63008024,1,0
Absent,12,2,3.053688965,1,1
